"content","username","tweet_published_at","type"
"Manifesting nonton Coldplay sblm tau Coldplay ke Indonesia 🙏🏻 https://t.co/Dvn6Q2pUlU","itskindagal","2023-05-09 20:33:32+07","tweet"
"Coldplay ke indonesia klo bnyak rejeki sih man teman mending nonton dluar tetangga dr pda  strees disistem wakanda sistem tiket dan sgala macamny sudah mendarah daging, rang org yg ketipu bener2 aplg yg open jastp tp hrga blum ada tba2 bnyak bet akun2 bermunculn, s","haridaresa","2023-05-09 19:13:48+07","tweet"
"@IDWantsColdplay @coldplay Bismillah menang war tiket AAMIIN","finyjr","2023-05-08 23:02:38+07","replied_to"
"Biaya Datangkan Coldplay ke Indonesia Capai Puluhan Miliar, Ini Rinciannya https://t.co/iy2X1gRY5I","JonoHutagalung","2023-05-09 18:29:03+07","tweet"
"@_titaamelia lohhhh ini kesempatan lohh kapan lagi coldplay ke Indonesia, aku aja kyknya nntn berbekal lagu viva la vida","Mommyshark1717","2023-05-09 12:49:00+07","tweet"
"uang bisa dicari, makan bisa dikurangi, tapi messi dan coldplay ke indonesia cuma datang sekali. hooh bar kuwi kerja keras meneh nganti tipes.","avifah_ve","2023-05-09 15:12:00+07","tweet"
"Sehari kemudian tepatnya pada tanggal 7 April 2023 akun instagram @jakartakonser ikut memberikan petunjuk terkait kedatangan Coldplay ke Indonesia. https://t.co/qkTz2nc5Jj","buddykuofficial","2023-05-09 14:43:21+07","replied_to"
"@hrdbacot denger denger karena ini pertama kali nya coldplay ke indonesia ada tunjungan konser coldplay","leisbedumb","2023-05-09 14:09:20+07","replied_to"
"Coldplay
Konser Coldplay 
Coldplay ke Indonesia
Tiket Coldplay 
Lagu Coldplay
Coldplay Tur 
Billboard

Yuk Dengerin! 5 Lagu Coldplay Terbaik Sepanjang Masa Versi Billboard https://t.co/WIT4cF9cb0","fadil_ainur","2023-05-09 13:03:50+07","tweet"
"Ternyata Coldplay ke Indonesia cuma mau ke Lampung","huftbangets","2023-05-09 12:33:33+07","tweet"
"Penantian 20 tahun akhirnya coldplay ke indonesia 😭","nefvertarii","2023-05-09 12:05:17+07","tweet"
"@COLDEpikmi @THVpikmi iyaaa makanya lumayan kaget jg pas coldplay ini, tapi emg bawa coldplay ke indonesia sesusah itu sih 🥲","nciNINGIE","2023-05-09 11:37:44+07","tweet"
"Akhirnya confirm coldplay ke indonesia!!!
Kita open jastip tiket coldplay yang mau tanya"" boleh DM
#coldplay https://t.co/rO90aw4quG","funtripkonser","2023-05-09 11:31:09+07","tweet"
"Announcement Coldplay ke Indonesia jangan jangan ""smoke screen"" kalo @bankbsi_id masih error dari kemaren subuh dan sampe detik ini BSI Mobile nggak bisa dibuka. LOL!","syarif_acil","2023-05-09 09:59:34+07","tweet"
