content	username
['dicari', 'coldplay', 'indonesia']	ASummerTruffle
['kulkas', 'motor', 'beli', 'coldplay', 'indonesia']	oturanad
['prinsip', 'kulkas', 'motor', 'dicuri', 'coldplay', 'indonesia']	zuzumbabi
['kulkas', 'motor', 'dicuri', 'coldplay', 'indonesia']	zuzumbabi
['kulkas', 'motor', 'dicuri', 'coldplay', 'indonesia']	zuzumbabi
['saham', 'bawa', 'indonesia']	ardhnsyah
['anjay', 'coldplay', 'indonesia']	ulfiabasry
['coldplay', 'indonesia', 'seumur', 'hidup', 'nyesel']	doubleFnyadua
['maaf', 'coldplay', 'indonesia', 'konser']	Darihat41109139
['lupa', 'era', 'busa', 'coldplay', 'indonesia']	loserbii
['coldplay', 'indonesia', 'atheis', 'coldplay', 'indonesia', 'nyanyi', 'mempersembahkan', 'pertunjukan', 'aneh', 'aneh', 'aneh']	AzazelRich
['say', 'hi', 'chris', 'martin', 'nonton', 'sabar', 'coldplay', 'indonesia', 'yah', 'mata', 'najwa', 'exclusive', 'interview', 'chris', 'martin', 'coldplay', 'youtube', 'najwa', 'website', 'mata', 'najwa']	NarasiNewsroom
['kulkas', 'motor', 'beli', 'coldplay', 'indonesia']	jajange666
['first', 'time', 'coldplay', 'indonesia', 'band']	rubychulisie
['bener2', 'definisi', 'dicari', 'coldplay', 'indonesia']	cheezzzieu
['tempo', 'menuliskan', 'betapa', 'tau', 'coldplay', 'indonesia', 'jaman2', 'desas', 'desus', 'konser', 'indonesia', 'php', 'nonton', 'sdh', 'pindah', 'tau', 'betapa', 'konser']	Denald
['coldplay', 'indonesia', 'harooommm', 'takbeer']	BernardNabban14
['jis']	deBUGsy
['heran', 'fomo', 'bertahan', 'hidup', 'nekat', 'pinjol', 'coldplay', 'indonesia', 'trs', 'bayar', 'pinjol']	yutatangsel
['coldplay', 'indonesia']	venttry
['coldplay', 'indonesia']	koganenohikari
['dicari', 'coldplay', 'indonesia']	RytRoc
['kerjaan', 'dicari', 'coldplay', 'indonesia']	namasayadrk
['mati', 'coldplay', 'indonesia']	littlecilung
['bener', 'bener', 'konsep', 'dicari', 'coldplay', 'indonesia']	jiochwe
['selamat', 'malam', 'fans', 'coldplay', 'thn', 'berterima', 'berani', 'coldplay', 'indonesia', 'momen', 'pencarian', 'memiliki', 'niat', 'jahat']	_amoy
['coldplay', 'indonesia', 'konser', 'ketakutan', 'iman']	ShenoWirang
['announce', 'konser', 'berharap', 'indo', 'tau', 'fix', 'kecewa', 'parah', 'bbrp', 'mendapati', 'fakta', 'indonesia', 'setimpal']	wurdianto
['nonton', 'coldplay', 'indonesia']	keburuhujan_
['coldplay', 'indonesia', 'konser', 'israel', 'indonesia', 'bola']	Chhattisggarh
