content	username	mentioned
@kegblgnunfaedh Coldplay ke Indonesia juga cuman buat konser doang, bukan yang aneh... Sok suci banget anjir 😌	Tari_Sun_Flower	['@kegblgnunfaedh']
"@ikanatassa Prinsipnya kalo emang ada duit walaupun dia bukan fans coldplay tapi mau nonton ....

YA NONTON LAH ANJIR KAPANPAGI COLDPLAY KE INDONESIA"	boombongie	['@ikanatassa']
@Percumha yuk coldplay kak	kikir	['@Percumha']
"@detikcom Ya kapan lagi yakan Coldplay ke Indonesia😭 darpd dlu paling deket Sgp, aku yg anak daerah menanges😭 skrg gapapa min bela2in ke Jkt&amp; ngemper di Stasiun. Yg ptg bisa dgerin langsung A Sky Full of Stars sm Everglow
Pliss😭😭😭"	pink_ranger05	['@detikcom']
@kegblgnunfaedh apa hubungan nya dukung lgbt sama konser? Coldplay ke Indonesia nyanyi woy bukan Berdakwah, aneh parah kalo nyari mukak	rafirsin	['@kegblgnunfaedh']
@Poconggg “Kapan lg coldplay ke indonesia”	kitoorah	['@Poconggg']
@kegblgnunfaedh selama gak ada simbol2 dan yang mengarah kesana, biasa aja. mereka juga datang harusnya sudah tau kultur kita, klo merek menantang, baru kerterlaluan. klo gak ada, ya nikmatin aja coldplay ke indonesia	Yudiansyahjr	['@kegblgnunfaedh']
@tvOneNews Udah lama2 nunggu coldplay ke Indonesia, malah pas ke Indonesia dia tolak sama fans madrid. Chuaks	Ravico27	['@tvOneNews']
@LurahEliite @ybaindonesia Ahahaha kalau tau nnti diajak ngepung bandara pas COLDPLAY ke Indonesia	wish_14	['@LurahEliite', '@ybaindonesia']
@txtdrpemerintah Kepung bandara, untuk menyambut kedatangan Coldplay ke Indonesia. Sambil bersama-sama menyanyikan FIX YOU	rois_arbisaid	['@txtdrpemerintah']
"@tanyarlfes Gak masalah beli tiket pakai pinjol. Utang bisa dibayar kapan2. Coldplay ke Indonesia kapan lagi ?
🗿"	remahan_peyeek	['@tanyarlfes']
"""Kan Coldplay Ke Indonesia mau konser bukan mau kampanye LGBT,kalopun emang bener dukung LGBT dan Atheis ya itu urusan pribadi mereka,"" cuit @m********.

#Coldplay #ColdplayinJakarta2023 #PA212 #LGBT #Jakarta #konser #viral https://t.co/PqYOkDyOYY"	Portal_PWT	['@m']
@AngelMoonBR @coldplay @alienradiofm Kkkkjkkkjkk	henrique_hertz	['@AngelMoonBR', '@coldplay', '@alienradiofm']
"@sosmedkeras Kulkas motor biss beli lagi, coldplay ke Indonesia kapan lagi??? 
tapi ga harus yg 11 juta lah 😭😭😭"	sheeshjade_	['@sosmedkeras']
@sosmedkeras semangat bro. uang bisa dicari, coldplay ke indonesia kapan lagi? urusan nanti gimana? ya gimana nanti haha	egilalohhh	['@sosmedkeras']
@sosmedkeras Uang bisa dicari, coldplay ke Indonesia kapan lagi	ASummerTruffle	['@sosmedkeras']
"@sosmedkeras Kulkas dan motor bisa beli lagi
Coldplay ke Indonesia cuma sekali 😎"	oturanad	['@sosmedkeras']
"@racunincenter @eIegantc @sosmedkeras Prinsip nya gini ""kulkas dan motor masih bisa dicuri, tapi coldplay ke indonesia hanya sekali"""	zuzumbabi	['@racunincenter', '@eIegantc', '@sosmedkeras']
"@dikkdikkk @sosmedkeras ""kulkas dan motor masih bisa dicuri, tapi coldplay ke indonesia hanya sekali"""	zuzumbabi	['@dikkdikkk', '@sosmedkeras']
"@sosmedkeras ""kulkas dan motor masih bisa dicuri, tapi coldplay ke indonesia hanya sekali"""	zuzumbabi	['@sosmedkeras']
saham @BankBCA harusnya melambung nih udah bisa bawa @coldplay ke indonesia 😊	ardhnsyah	['@BankBCA', '@coldplay']
@txtdrpengusaha Anjay Coldplay ke Indonesia dong siap siap ges	ulfiabasry	['@txtdrpengusaha']
"@tanyarlfes ""Coldplay ke Indonesia tuh sekali seumur hidup, daripada nyesel!"" Oke..."	doubleFnyadua	['@tanyarlfes']
@Sro19963 @IDNTimes Maaf coldplay ke indonesia mau konser .bukan nyaleg 🗿	Darihat41109139	['@Sro19963', '@IDNTimes']
@Maliaaa____ @Heri_Horeh jgn lupa juga, cuma di era ini busa datangkan coldplay ke Indonesia.	loserbii	['@Maliaaa____', '@Heri_Horeh']
"@psi_id @coldplay @adearmando61 Coldplay ke Indonesia bukan Mau kampanye Soal LGBT , Bukan Mau Kampanye soal Atheis , Coldplay mau ke Indonesia mau nyanyi , mempersembahkan pertunjukan Karya nya. 
Aneh aneh aneh. 🤌🤌🤌🤌"	AzazelRich	['@psi_id', '@coldplay', '@adearmando61']
"Baru say hi sama Chris Martin aja, yang nonton ikut deg-degan. Jadi enggak sabar nungguin Coldplay ke Indonesia.

Tungguin yah Mata Najwa “Exclusive Interview with Chris Martin of Coldplay” di YouTube Najwa Shihab dan website https://t.co/pFOrT6gsF8

@aiaindonesia

| Mata Najwa https://t.co/3ziXDALkgF"	NarasiNewsroom	['@aiaindonesia']
@sosmedkeras Kulkas dan motor bisa di beli lagi tapi coldplay ke Indonesia kapan lagi	jajange666	['@sosmedkeras']
@dinhihope EMANG KENAPA? GASUKA? INI FIRST TIME COLDPLAY KE INDONESIA KALO LO GATAU!! DAN INI GRUP BAND LEGEND😡😡 —Ucap ngabers kalo ada yg ngedefend😎	rubychulisie	['@dinhihope']
"@sosmedkeras bener2 definisi ""uang bisa dicari, tapi coldplay ke indonesia hanya sekali"" 😭👍🏻"	cheezzzieu	['@sosmedkeras']
"@efenerr Tempo hari menuliskan betapa senangnya aku begitu tau AKHIRNYA! Coldplay ke Indonesia. Ingat banget jaman2 di kantor deg2an pas dengar desas desus akan konser di Indonesia. Ternyata PHP. Alhamdulillah kesampaian nonton pas sdh pindah.

Makanya,tau betul betapa berharga konser ini"	Denald	['@efenerr']
@malameze Tolak coldplay ke indonesia, lgbt itu harooommm. TAKBEER 🍺	BernardNabban14	['@malameze']
@Metro_TV @coldplay kok ga di JIS ?	deBUGsy	['@Metro_TV', '@coldplay']
"@tanyarlfes Heran bgt sama orang orang fomo yang buat bertahan hidup aja udah ngap-ngapan tapi nekat pinjol demi ""Coldplay ke Indonesia cuma sekali"" trs nanti kalau gak bisa bayar pinjol ngerengek 🙃"	yutatangsel	['@tanyarlfes']
@FadlyPradana inget.. coldplay ke indonesia tak akan terulang kembali...	venttry	['@FadlyPradana']
"@PZeroVelo ""tapi kak kapan lagi coldplay ke Indonesia"""	koganenohikari	['@PZeroVelo']
@gentalubawan Jangan gitu kamuuuu. Uang bisa dicari tapi Coldplay ke Indonesia cuma sekali! 😡😡😡	RytRoc	['@gentalubawan']
@As_Kurnn Kerjaan bisa dicari, tapi Coldplay ke Indonesia cuma sekali ~	namasayadrk	['@As_Kurnn']
@sosmedkeras Ginjal 1 tidak mati, coldplay ke indonesia kapan lagi	littlecilung	['@sosmedkeras']
@nawamsirk @sosmedkeras bener bener konsep uang bisa dicari coldplay ke Indonesia masa ga pergi	jiochwe	['@nawamsirk', '@sosmedkeras']
"@sandiuno selamat malam pak. Saya sebagai fans Coldplay selama 20 thn sangat berterima kasih sudah berani dan bisa mendatangkan Coldplay ke Indonesia tahun ini.
Tetapi sangat disayangkan momen ini malah menjadi ajang pencarian uang oleh orang lain yang memiliki niat jahat."	_amoy	['@sandiuno']
"Kedatangan Coldplay ke Indonesia itu menggelar konser musik, bukan kampanye LGBT, jadi tak perlu ketakutan yang berlebihan.

Jaga saja iman masing-masing !

@MUIPusat https://t.co/5Aofv3oRU4"	ShenoWirang	['@MUIPusat']
"sebelum @muse announce bakal konser di KL, berharap banget mereka bakalan ke Indo. Dan pas tau mereka fix hanya ke KL, kecewa parah saat itu.

lalu bbrp bulan kemudian mendapati fakta bahwa @coldplay ke Indonesia, dan aku akan pergi ke sana. sungguh pengganti yang setimpal. 🥹"	wurdianto	['@muse', '@coldplay']
"@tanyakanrl Ga ada uang, ga harus nonton sekarang :((

 2027 juga balik lagi Coldplay ke Indonesia"	keburuhujan_	['@tanyakanrl']
"@ZulfadliZulfa17 @vonnycornellya_ Coldplay ke Indonesia buat konser 
Bukan kampanye LGBT

ISRAEL ke Indonesia buat tanding bola 
Bukan mau perang"	Chhattisggarh	['@ZulfadliZulfa17', '@vonnycornellya_']
"@tanyakanrl ga tentang ""kapan lagi coldplay ke indonesia"" oh c'mon kalau suatu saat lu punya rezeki lu bisa susul noh coldplay ke ujung dunia pun bakal tetep ada.logika nya kan mau nikah,trs bapak mu butuh biaya berobat jg mana nonton pake duit tabungan yg di hasilin adik sendiri,ga malu?"	alzanzea_	['@tanyakanrl']
@KompasTV Ya Allah pak COLDPLAY ke Indonesia itu cuma buat tour konser   nyanyi nggak kampanye2 yg lain,..Qatar aja yg negara hukum Islam cerdas bgt mengatasi masalah itu pas Piala Dunia kemarin,..ini kita yang INDONESIA negara PANCASILA harus bisa toleransi pak 🤯	whatthehappier	['@KompasTV']
"@noire172 terus di-counter pakai kalimat uang bisa dicari, Coldplay ke Indonesia kapan lagi

🤣🤣🤣🤣🤣🤣"	otodanarz	['@noire172']
@AstoZou bdndjdnsjsjzna coldplay	bouskazoro	['@AstoZou']
@tvOneNews Hiburan Musik tdk merusak Moral Pak, terkecuali Coldplay ke Indonesia khusus dalam rangka kampanye LGBT. Jangan2 ini MUI yg sdg Kampanye Untuk politik Indentitas ke Pemilu 2024 nih !!!	Awefroger	['@tvOneNews']
"@tanyakanrl Banyak temen2 gw yg dah 30an ke atas menanti2 pengn nonton saking lamanya penantian Coldplay ke Indonesia. 
Mental korupsi lu bkin bnyk org dikorbanin. Semoga tiket lu ga laku satupun."	hitirediamdad	['@tanyakanrl']
@SudahBukanMaba Buat nnton Coldplay kan?	taurusnads	['@SudahBukanMaba']
@joysolong @RD_4WR1212 @antoniusdwisap1 Eh kontol. Lu pikir Coldplay ke Indonesia mau kampanye LGBT	lokernyagacha	['@joysolong', '@RD_4WR1212', '@antoniusdwisap1']
Prihatin sekali, klo benar @sandiuno yg menggagas kedatangan Coldplay ke Indonesia. Dia ga peka dg perasaan rakyat, khususnya muslim.	dpd_ummatCiamis	['@sandiuno']
Tak pelak, konfirmasi resmi kunjungan Coldplay ke Indonesia menjadi kejutan luar biasa bagi banyak orang. Alhasil, obrolan tentang Coldplay merebut lampu sorot perbincangan di jagat maya. @ArdBrahmantya #Linimasa #AdadiKompas https://t.co/8GgcSmZrvj	KompasData	['@ArdBrahmantya']
@kipasgoyang @rizkyXprasetya aku doyan Shiver, lagunya Coldplay	debuatomik	['@kipasgoyang', '@rizkyXprasetya']
@tanyakanrl Kalian pernah ke konser siapa aja?	dinrayaujazla	['@tanyakanrl']
"Coldplay lyric @coldplay
Terbangun bobo sendiri welcome mei 2023.
aku sila
aku bela
aku rela
aku pila
""Setitik cahaya diri agar tidak nafsu dan gila sebuah pangkat yang hanya untuk perut sendiri dan keluarga menjadi sebuah perangkat agar tidak melarat.""‼️
-DUKA-📝🎧🎸

-VieW 😌🤞 https://t.co/YpJFe5eQ1E"	b16slow	['@coldplay']
@sskinnypandaxx ttp lebih priority in taylor dli sorry bgt bro @coldplay	soursadly	['@sskinnypandaxx', '@coldplay']
@MUSIKMENFESS Bmth g dl mo coldplay ma ayank	ktpjajank	['@MUSIKMENFESS']
@MUSIKMENFESS mungkin kalo yg pernah diliat masi bts sm coldplay, trs svt/txt mungkin bisa nyusul kedepannya	zendafiar	['@MUSIKMENFESS']
@inigladisss mending diajak nonton Coldplay	panggilajajuu	['@inigladisss']
@convomfs Coldplay beneran ke indo gaaaak?	ardsandd	['@convomfs']
@erickthohir Uang bisa dicari, Coldplay ke Indonesia cuma sekali, tapi liat messi di tackle Asnawi itu lebih berarti 🤣	beporizal	['@erickthohir']
@detikcom Coldplay ke Indonesia kapan lagi 🤣🤣🙃	vegetablefried1	['@detikcom']
@tanyakanrl coldplay ke indonesia belum tentu cuma sekali, tapi kita ngeliat asnawi tackle messi itu lebih menarik. damn argen 7-1 indo	boysoftheyear	['@tanyakanrl']
