content	username	tweet_published_at	type
"@Indomieaceh4 Uang bisa dicari, coldplay ke Indonesia cuma sekali
Yuk gadaikan ktpmu"	dimasadan_	2023-05-10 23:08:39+07	replied_to
@ssefnum pusing mikirin kalau coldplay ke indonesia terus indonesia kemana?	masihnooob	2023-05-10 22:11:35+07	replied_to
@MafiaWasit Memang kapan Coldplay ke Indonesia sebelum skrg? Kalau Fifa Matchday sih sering yaa...	JoeArifiando92	2023-05-10 21:47:28+07	replied_to
@syahiraa27 makan bisa di kurangi, tapi coldplay ke indonesia cuman sekali 😂	hkml07_	2023-05-11 13:26:32+07	replied_to
@rickjaa_ uang bisa dicari, coldplay ke indonesia kapan lagi 🤪	babeyaga_	2023-05-12 07:07:23+07	tweet
"Uang bisa dicari tapi @coldplay ke Indonesia hanya sekali. 
Angkat KTPmu kawan …"	rizaldiabdilah	2023-05-12 05:46:52+07	tweet
@radenrauf UANG BISA DICARI TAPI COLDPLAY KE INDONESIA HANYA SEKALI	marcellinaape	2023-05-12 02:37:56+07	tweet
@bctpsj uang bisa dicari lagi, tp coldplay ke indonesia belum tentu 10 taun sekali	xamperinn	2023-05-12 18:34:27+07	replied_to
@pendakilawas Coldplay. Rinjani gk kemana” tetep ada di Indonesia kan, klo coldplay ke Indonesia kapan lagi 🥹	jezziejel	2023-05-12 17:20:31+07	replied_to
@pendakilawas Rinjani ga akan kemana2, tapi coldplay ke Indonesia belum tentu 2 kali	sungoldhin	2023-05-12 16:53:59+07	replied_to
@gadisoengoe @coldplay Sat set sat set 🤪	arifnrokhman	2023-05-04 00:07:27+07	replied_to
@pendakilawas Uang bisa dicari, coldplay ke indonesia cuman sekali 🗿	rhxans	2023-05-12 15:21:30+07	replied_to
@brookllyne tidak ada yang tidak mungkin di dunia ini. Coldplay ke Indonesia saja awalnya ketidakmungkinan.	malkaleegra	2023-05-12 14:47:47+07	replied_to
@6737RIEEE @dianoaxl @FikriMunafi @idextratime @ganjarpranowo pak @ganjarpranowo tolong jangan biarkan @coldplay ke indonesia. mereka ini atheis dan lgbt, sangat bertentangan dengan pancasila 🇮🇩❤️	miloknight77	2023-05-13 08:10:19+07	tweet
@kegblgnunfaedh gass, kapan lagi coldplay ke indonesia	herdiansyh__	2023-05-12 12:43:16+07	replied_to
@worksfess Mending kayak tadi tuh siapa ya lupa, pokoknya kantornya libur Selasa-Rabu atau Rabu-Kamis pas Coldplay ke Indonesia. Terus ganti hari Sabtu-Minggu yang masuk.	inasmfdti	2023-05-12 11:32:16+07	replied_to
@aazisamin Pinjol bisa dilunasi, Coldplay ke Indonesia mungkin cuma sekali.	Styopebri	2023-05-12 11:30:19+07	replied_to
@fadrimerdianto Duit bisa dicari, tapi coldplay ke Indonesia cuma sekali. KTP dan pinjol diciptakan bukan tanpa alasan.	aridwan05	2023-05-12 10:15:49+07	replied_to
@worksfess Mending resign ga si? Kapan lagi Coldplay ke Indonesia *kata yg udh book tiket 11jt	abangudinn_	2023-05-13 01:44:40+07	replied_to
Jangankan dari album parachutes, dari Mylo xyloto, ghost stories, ahfod tour semuaaaa ga ada yg bisa buat coldplay ke Indonesia dan cita-cita proposal promotor ku ini tercapai oleh @PK_ent_id @TEMGMT TEAM😭😭, dan  range harga yg gua buat di tahun 2017 paling murah masih sama!! https://t.co/aRrDimCWhQ	lauvyoubeb	2023-05-12 22:48:52+07	replied_to
@TxtdariHI Loh bukannya yg mereka dukung dulu malah yg bawa coldplay ke Indonesia? Loh heh loh heh	ahmadfaiqfkhr	2023-05-12 21:39:34+07	replied_to
"@idextratime Lho lho lho, Coldplay bahaya cok.

Takutnya mereka bawa BOM, Laranng Coldplay ke Indonesia ❗❗❗"	Slurrpee2	2023-05-13 18:41:26+07	replied_to
@0GEKKK liat di yutub aja coldplay live concert in jakarta	thehot_man	2023-05-03 18:05:44+07	replied_to
@kegblgnunfaedh Coldplay ke Indonesia juga cuman buat konser doang, bukan yang aneh... Sok suci banget anjir 😌	Tari_Sun_Flower	2023-05-14 19:44:50+07	replied_to
"@ikanatassa Prinsipnya kalo emang ada duit walaupun dia bukan fans coldplay tapi mau nonton ....

YA NONTON LAH ANJIR KAPANPAGI COLDPLAY KE INDONESIA"	boombongie	2023-05-14 17:21:14+07	replied_to
@Percumha yuk coldplay kak	kikir	2023-05-09 05:56:25+07	replied_to
"@detikcom Ya kapan lagi yakan Coldplay ke Indonesia😭 darpd dlu paling deket Sgp, aku yg anak daerah menanges😭 skrg gapapa min bela2in ke Jkt&amp; ngemper di Stasiun. Yg ptg bisa dgerin langsung A Sky Full of Stars sm Everglow
Pliss😭😭😭"	pink_ranger05	2023-05-14 11:33:00+07	replied_to
@kegblgnunfaedh apa hubungan nya dukung lgbt sama konser? Coldplay ke Indonesia nyanyi woy bukan Berdakwah, aneh parah kalo nyari mukak	rafirsin	2023-05-15 04:40:21+07	replied_to
